Source: Bijlsma, G. 1999: Sex determination of nestling Common Buzzards buteo buteo. Limosa 72, 1-10; Bijlsma, G. 1997: Handleiding veldonderzoek roofvogels.  KNNV Uitgeverij
age	sex	wing	weight
0	1	17.9	45.1
1	1	19.9	58.1
2	1	22.1	69.2
3	1	24.4	68.4
4	1	27.2	108.8
5	1	28.9	124.8
6	1	33.4	157.4
7	1	35.6	178.9
8	1	40.4	217.8
9	1	46.4	250.8
10	1	51.8	279.7
11	1	57.8	319.9
12	1	66.8	342.1
13	1	74.6	386.2
14	1	83.2	416.5
15	1	90.2	445.1
16	1	101.3	486.6
17	1	107.4	497.3
18	1	118.1	530.7
19	1	128.1	528.5
20	1	138.1	567.8
21	1	146.5	593.3
22	1	155.7	605.9
23	1	165.5	623.8
24	1	173.9	651.4
25	1	182.7	641.8
26	1	189.7	662.2
27	1	196.6	653.6
28	1	204.4	654.6
29	1	213.2	683.8
30	1	221.4	694.1
31	1	229.2	697.5
32	1	234.8	711.4
33	1	242.4	697.5
34	1	250.2	733.8
35	1	257.7	725.8
36	1	263.2	722.3
37	1	270.1	725.3
38	1	279.1	745.4
39	1	283.9	742.7
40	1	287.6	726.2
41	1	294.4	737.5
42	1	298.8	731.5
43	1	304.3	713.6
44	1	311.5	750.8
45	1	315.4	729
46	1	321.2	767.5
47	1	327	736.2
48	1	331	716.2
49	1	334	745
50	1	NA	730
0	0	19.3	41.3
1	0	20.9	54.1
2	0	22.9	73
3	0	24.9	88.1
4	0	27.3	109.7
5	0	30.7	126.6
6	0	34.4	166.1
7	0	37	189.6
8	0	42.1	231.5
9	0	47	274.2
10	0	52.6	303.6
11	0	59.1	337
12	0	66.1	365.1
13	0	73.8	403.7
14	0	84.7	444.2
15	0	92.6	496.8
16	0	102.6	532.2
17	0	114.1	566.1
18	0	123.5	596.4
19	0	131.6	600
20	0	141	642.7
21	0	152.3	661.6
22	0	160.1	706.8
23	0	168	720.7
24	0	177.2	730.7
25	0	187.4	764.7
26	0	195.2	756.2
27	0	204.2	769.3
28	0	213.7	774.1
29	0	220.1	788.2
30	0	228.2	797
31	0	235.9	830
32	0	243.9	829
33	0	251.5	835.4
34	0	258.1	850.4
35	0	263	873.8
36	0	274.3	869.5
37	0	281	865.4
38	0	284.8	864.2
39	0	295.1	853
40	0	301.4	861.8
41	0	306.7	879.2
42	0	312.6	898
43	0	318.5	895
44	0	324.5	887.8
45	0	327	855
46	0	332.8	888
47	0	332.3	811.2
48	0	336	875
49	0	344	856.7
50	0	350	825
